150600001;201;CARRD;147;2022-07-30 23:49:36
1;1;离线;2022-07-30 13:16:00;39.83308,110.08517;2022-06-20 14:19:43
1-2;1;离线;2022-07-30 17:14:07;39.840626,110.081894;2022-06-22 17:12:56
1-8;0;正常;2022-07-30 23:49:35;39.840553,110.08182;2022-06-28 10:34:37
10;1;离线;2022-07-30 17:20:12;39.838116,110.08372;2022-06-28 10:29:44
11;1;离线;2022-07-30 06:18:03;39.83377,110.09263;2022-06-20 14:20:02
11-1;0;正常;2022-07-30 23:49:34;39.84081,110.081764;2022-06-28 10:46:11
11-2;0;正常;2022-07-30 23:49:36;39.840763,110.08155;2022-06-28 10:45:59
11-3;0;正常;2022-07-30 23:49:36;39.840508,110.08138;2022-06-28 10:46:38
11-6;0;正常;2022-07-30 23:49:35;39.84084,110.08219;2022-06-28 10:46:24
15;0;正常;2022-07-30 23:49:29;39.834415,110.09064;2022-06-20 14:20:21
15-1;1;离线;2022-07-30 17:17:29;39.840626,110.082085;2022-06-28 10:49:58
15-2;1;离线;2022-06-29 08:51:25;39.835667,110.07635;2022-06-20 14:35:02
15-6;0;正常;2022-07-30 23:49:34;39.840317,110.08165;2022-06-28 10:44:22
15-7;1;离线;2022-07-30 17:25:31;39.84034,110.08098;2022-06-28 10:51:17
16;1;离线;2022-07-30 12:36:47;39.83358,110.091064;2022-07-26 16:00:13
16-6;0;正常;2022-07-30 23:49:34;39.840393,110.081604;2022-06-17 11:37:17
16-7;0;正常;2022-07-30 23:49:35;39.8407,110.08133;2022-06-17 11:36:54
17;1;离线;2022-07-30 06:24:24;39.834366,110.08602;2022-06-20 14:23:01
17-1;1;离线;2022-07-30 17:27:17;39.84032,110.081215;2022-06-20 14:49:15
17-2;1;离线;2022-07-30 17:17:49;39.84014,110.081245;2022-06-20 14:50:52
17-3;0;正常;2022-07-30 23:49:34;39.840733,110.08145;2022-06-28 10:42:38
